2025-12-04 17:59:47,622 | INFO     | InventoryPipeline | **********************************************************************
2025-12-04 17:59:47,623 | INFO     | InventoryPipeline | STARTING: UNIFIED PRODUCT & INVENTORY DATA HARMONIZATION PIPELINE
2025-12-04 17:59:47,623 | INFO     | InventoryPipeline | **********************************************************************
2025-12-04 17:59:47,623 | INFO     | InventoryPipeline | ======================================================================
2025-12-04 17:59:47,624 | INFO     | InventoryPipeline | LAYER 1: RAW (BRONZE) - Data Ingestion
2025-12-04 17:59:47,624 | INFO     | InventoryPipeline | ======================================================================
2025-12-04 17:59:47,624 | INFO     | InventoryPipeline | Loading dataset: inventory_snapshot from raw/inventory_snapshot.csv
2025-12-04 17:59:47,631 | INFO     | InventoryPipeline | Loaded 30 records from inventory_snapshot
2025-12-04 17:59:47,632 | INFO     | InventoryPipeline | Columns: ['snapshot_id', 'store_id', 'product_id', 'snapshot_date', 'snapshot_level', 'max_capacity', 'damaged_quantity', 'expired_quantity']
2025-12-04 17:59:47,632 | INFO     | InventoryPipeline | Loading dataset: restock_events from raw/restock_events.csv
2025-12-04 17:59:47,636 | INFO     | InventoryPipeline | Loaded 28 records from restock_events
2025-12-04 17:59:47,636 | INFO     | InventoryPipeline | Columns: ['restock_id', 'store_id', 'product_id', 'restock_date', 'incoming_quantity', 'restock_type', 'supplier_id']
2025-12-04 17:59:47,636 | INFO     | InventoryPipeline | Loading dataset: products from raw/products.csv
2025-12-04 17:59:47,638 | INFO     | InventoryPipeline | Loaded 10 records from products
2025-12-04 17:59:47,638 | INFO     | InventoryPipeline | Columns: ['product_id', 'product_name', 'sku', 'category', 'unit_price', 'max_restock_quantity', 'status']
2025-12-04 17:59:47,638 | INFO     | InventoryPipeline | Loading dataset: stores from raw/stores.csv
2025-12-04 17:59:47,640 | INFO     | InventoryPipeline | Loaded 5 records from stores
2025-12-04 17:59:47,640 | INFO     | InventoryPipeline | Columns: ['store_id', 'store_name', 'location', 'city', 'region', 'store_type', 'capacity_tier']
2025-12-04 17:59:47,901 | INFO     | InventoryPipeline | Raw data saved: raw/inventory_snapshot_raw.parquet
2025-12-04 17:59:47,905 | INFO     | InventoryPipeline | Raw data saved: raw/restock_events_raw.parquet
2025-12-04 17:59:47,905 | INFO     | InventoryPipeline | Total inventory snapshots: 30
2025-12-04 17:59:47,905 | INFO     | InventoryPipeline | Total restock events: 28
2025-12-04 17:59:47,905 | INFO     | InventoryPipeline | Products in master: 10
2025-12-04 17:59:47,905 | INFO     | InventoryPipeline | Stores in master: 5
2025-12-04 17:59:47,905 | INFO     | InventoryPipeline | ======================================================================
2025-12-04 17:59:47,906 | INFO     | InventoryPipeline | LAYER 2: STAGING (SILVER) - Validation & Deduplication
2025-12-04 17:59:47,906 | INFO     | InventoryPipeline | ======================================================================
2025-12-04 17:59:47,906 | INFO     | InventoryPipeline | --------------------------------------------------
2025-12-04 17:59:47,906 | INFO     | InventoryPipeline | Validating Inventory Snapshots...
2025-12-04 17:59:47,906 | INFO     | InventoryPipeline | --------------------------------------------------
2025-12-04 17:59:47,912 | INFO     | InventoryPipeline |   Missing store_id: 1 records
2025-12-04 17:59:47,913 | INFO     | InventoryPipeline |   Missing product_id: 1 records
2025-12-04 17:59:47,915 | INFO     | InventoryPipeline |   Missing snapshot_date: 1 records
2025-12-04 17:59:47,916 | INFO     | InventoryPipeline |   Missing snapshot_level: 0 records
2025-12-04 17:59:47,917 | INFO     | InventoryPipeline |   Negative stock: 1 records
2025-12-04 17:59:47,922 | INFO     | InventoryPipeline |   Mismatched product_id: 1 records
2025-12-04 17:59:47,923 | INFO     | InventoryPipeline |   Capacity exceeded (warning): 0 records
2025-12-04 17:59:47,928 | INFO     | InventoryPipeline |   Valid records: 24
2025-12-04 17:59:47,928 | INFO     | InventoryPipeline |   Invalid records: 5
